profileId,measuredTotalPin,measuredTotalPout,inat152782,inat152829,inat152876,inat152923,inat152970,inat153017,inat153064,inat153111,inat153158,inat153205,inat153252,inat153299,inat153346,inat153393,inat153440,inat153487,inat153534,inat153581,inat153628,inat153675,inat153722,inat153769,inat153816,inat153863,inat153910,inat153957,inat154004,inat154051,inat154098,inat154145,inat154192,inat154239,inat154286,inat154333,inat154380,inat154427,inat154474,inat154521,inat154568,inat154615,inat154662,inat154709,inat154756,inat154803,inat154850,inat154897,inat154944,inat154991,inat155038,inat155085,inat155132,inat155179,inat155226,inat155273,inat155320,inat155367,inat155414,inat155461,inat155508,inat155555,inat155602,inat155649,inat155696,inat155743,inat155790,inat155837,inat155884,inat155931,inat155978,inat156025,inat156072,inat156119,inat156166,inat156213,inat156260,inat156307,inat156354,inat156401,inat156448,inat156495,inat156542,inat156589,inat156636,inat156683,outat152782,outat152829,outat152876,outat152923,outat152970,outat153017,outat153064,outat153111,outat153158,outat153205,outat153252,outat153299,outat153346,outat153393,outat153440,outat153487,outat153534,outat153581,outat153628,outat153675,outat153722,outat153769,outat153816,outat153863,outat153910,outat153957,outat154004,outat154051,outat154098,outat154145,outat154192,outat154239,outat154286,outat154333,outat154380,outat154427,outat154474,outat154521,outat154568,outat154615,outat154662,outat154709,outat154756,outat154803,outat154850,outat154897,outat154944,outat154991,outat155038,outat155085,outat155132,outat155179,outat155226,outat155273,outat155320,outat155367,outat155414,outat155461,outat155508,outat155555,outat155602,outat155649,outat155696,outat155743,outat155790,outat155837,outat155884,outat155931,outat155978,outat156025,outat156072,outat156119,outat156166,outat156213,outat156260,outat156307,outat156354,outat156401,outat156448,outat156495,outat156542,outat156589,outat156636,outat156683
1002,1.7,15,-20.262,-19.152,-19.402,-18.902,-19.052,-19.192,-19.172,-19.092,-19.212,-18.842,-18.752,-18.532,-18.182,-18.022,-17.752,-17.672,-17.632,-17.452,-17.932,-17.882,-18.312,-18.162,-18.162,-18.212,-17.712,-17.942,-17.592,-17.312,-17.562,-17.602,-17.852,-17.622,-17.842,-17.582,-17.782,-17.882,-18.002,-18.112,-18.002,-17.962,-18.022,-18.212,-18.442,-18.462,-18.222,-18.022,-18.012,-18.082,-17.712,-17.992,-17.942,-17.792,-17.802,-17.532,-17.732,-17.542,-17.422,-17.392,-17.212,-17.192,-17.282,-17.152,-16.992,-17.102,-16.892,-16.952,-16.792,-17.032,-17.012,-16.762,-16.752,-16.632,-16.922,-16.842,-16.472,-16.342,-16.282,-16.092,-15.972,-15.682,-15.452,-15.492,-15.582,-15.732,-18.736,-17.176,-16.996,-16.116,-15.856,-15.616,-15.196,-14.746,-14.536,-13.786,-13.406,-12.876,-12.346,-11.666,-11.396,-11.126,-10.876,-10.406,-10.836,-10.496,-10.706,-10.456,-10.086,-9.926,-9.026,-9.066,-8.246,-7.916,-7.846,-7.626,-7.376,-7.016,-7.036,-6.586,-6.566,-6.386,-6.356,-6.296,-5.906,-5.636,-5.906,-5.736,-5.736,-5.686,-5.206,-4.916,-4.586,-4.636,-4.176,-4.346,-3.916,-3.566,-3.586,-3.056,-3.096,-2.676,-2.466,-2.236,-1.876,-1.766,-1.746,-1.506,-1.276,-1.286,-0.996,-0.966,-0.736,-1.006,-0.976,-0.776,-0.846,-0.736,-1.136,-1.116,-0.876,-0.896,-0.916,-0.936,-0.966,-0.846,-0.826,-1.136,-1.446,-2.486
1002,0.9,15,-20.798,-19.688,-20.338,-19.888,-19.898,-19.918,-19.868,-19.838,-19.858,-19.528,-19.538,-19.248,-18.978,-18.968,-18.728,-18.578,-18.528,-18.118,-18.218,-17.918,-18.208,-18.398,-18.058,-18.248,-18.048,-18.358,-18.378,-18.218,-18.408,-18.388,-18.568,-18.388,-18.708,-18.418,-18.658,-18.688,-18.618,-18.748,-18.968,-19.068,-19.168,-19.148,-19.338,-19.248,-18.938,-18.738,-18.708,-18.708,-18.518,-18.738,-18.748,-18.608,-18.548,-18.338,-18.628,-18.428,-18.438,-18.378,-18.198,-18.158,-18.258,-18.188,-17.958,-18.188,-17.968,-17.878,-17.888,-17.998,-18.008,-17.718,-17.758,-17.568,-17.648,-17.798,-17.418,-17.378,-17.168,-16.988,-16.898,-16.648,-16.328,-16.248,-16.288,-16.608,-17.462,-15.902,-16.152,-15.302,-14.902,-14.552,-14.142,-13.752,-13.432,-12.792,-12.542,-11.862,-11.572,-11.122,-10.932,-10.662,-10.422,-9.702,-9.802,-9.232,-9.382,-9.362,-8.752,-8.802,-8.172,-8.412,-7.892,-7.642,-7.542,-7.292,-7.002,-6.702,-6.722,-6.252,-6.342,-6.102,-5.892,-5.952,-5.782,-5.712,-5.982,-5.692,-5.572,-5.472,-4.922,-4.652,-4.342,-4.312,-4.062,-4.082,-3.872,-3.412,-3.402,-2.942,-3.062,-2.722,-2.582,-2.322,-1.962,-1.892,-1.832,-1.652,-1.372,-1.502,-1.132,-0.982,-0.982,-1.162,-1.132,-0.922,-1.082,-0.902,-1.102,-1.342,-1.062,-1.142,-1.082,-1.142,-1.192,-1.162,-1.052,-1.212,-1.502,-2.752
1002,-0.0464811783960721,15,-21.227,-20.627,-21.417,-20.827,-20.847,-20.797,-20.807,-20.727,-20.787,-20.267,-20.247,-20.137,-19.827,-19.917,-19.697,-19.617,-19.507,-19.137,-19.347,-19.157,-19.217,-19.197,-19.317,-19.597,-19.267,-19.447,-19.317,-19.177,-19.397,-19.457,-19.547,-19.237,-19.697,-19.337,-19.637,-19.867,-19.977,-19.957,-19.917,-20.067,-19.887,-20.067,-20.297,-20.417,-20.197,-20.117,-20.157,-19.877,-19.657,-19.937,-19.747,-19.567,-19.597,-19.367,-19.477,-19.367,-19.397,-19.287,-19.137,-19.187,-19.217,-19.127,-18.877,-18.977,-18.677,-18.597,-18.647,-18.747,-18.757,-18.457,-18.577,-18.477,-18.567,-18.607,-18.377,-18.157,-18.017,-17.937,-17.787,-17.537,-17.187,-17.027,-16.897,-17.367,-15.955,-14.875,-15.225,-14.225,-13.875,-13.475,-13.095,-12.735,-12.505,-11.625,-11.595,-11.055,-10.745,-10.555,-10.315,-10.205,-9.955,-9.345,-9.615,-9.165,-9.035,-8.915,-8.695,-8.965,-8.165,-8.305,-7.655,-7.465,-7.295,-7.155,-6.745,-6.435,-6.565,-6.045,-6.205,-6.165,-6.125,-6.025,-5.665,-5.615,-5.605,-5.625,-5.505,-5.625,-5.185,-4.995,-4.695,-4.345,-4.165,-4.295,-3.775,-3.425,-3.435,-2.945,-3.005,-2.635,-2.545,-2.245,-2.015,-1.905,-1.835,-1.655,-1.345,-1.355,-1.055,-0.865,-0.895,-1.085,-1.055,-0.855,-1.125,-0.965,-1.225,-1.395,-1.285,-1.275,-1.295,-1.375,-1.455,-1.385,-1.265,-1.365,-1.515,-2.945
1002,-1.5,15,-23.007,-22.307,-22.907,-22.247,-22.187,-22.367,-22.217,-22.137,-22.287,-21.917,-21.867,-21.687,-21.307,-21.167,-20.907,-20.937,-20.947,-20.637,-20.857,-20.467,-20.597,-20.867,-20.947,-20.867,-20.627,-20.937,-20.657,-20.387,-20.677,-20.817,-21.177,-20.967,-21.217,-21.037,-21.177,-21.397,-21.647,-21.707,-21.927,-22.027,-21.857,-21.887,-21.877,-22.047,-21.597,-21.347,-21.287,-21.417,-21.087,-21.247,-21.137,-20.947,-20.917,-20.627,-20.787,-20.657,-20.697,-20.617,-20.467,-20.407,-20.417,-20.277,-20.127,-20.337,-20.177,-20.097,-20.067,-20.267,-20.217,-19.847,-19.787,-19.857,-20.097,-20.117,-19.877,-19.697,-19.537,-19.477,-19.287,-19.057,-18.757,-18.587,-18.237,-18.587,-14.989,-13.799,-13.949,-12.859,-12.579,-12.359,-11.799,-11.439,-11.449,-10.709,-10.689,-10.209,-9.809,-9.449,-9.339,-9.359,-9.309,-8.799,-9.099,-8.539,-8.479,-8.899,-8.459,-8.349,-7.779,-7.859,-7.119,-6.859,-6.789,-6.709,-6.629,-6.329,-6.379,-5.969,-5.869,-6.019,-6.109,-6.109,-5.989,-5.859,-5.889,-5.699,-5.439,-5.609,-4.839,-4.709,-4.359,-4.369,-3.999,-4.039,-3.739,-3.329,-3.339,-2.779,-2.789,-2.549,-2.389,-2.179,-1.959,-1.809,-1.719,-1.489,-1.189,-1.389,-1.159,-0.979,-1.009,-1.239,-1.199,-0.889,-0.939,-1.119,-1.529,-1.679,-1.599,-1.589,-1.619,-1.759,-1.849,-1.819,-1.749,-1.849,-1.799,-3.219
1002,-2.6,15,-24.132,-23.302,-23.952,-23.342,-23.122,-23.532,-23.632,-23.752,-23.772,-23.452,-23.492,-23.062,-22.192,-22.072,-21.912,-21.912,-21.932,-21.782,-22.412,-22.422,-22.592,-22.392,-22.462,-22.432,-21.432,-21.692,-21.922,-21.472,-21.802,-21.772,-22.092,-22.132,-22.572,-22.302,-22.532,-22.542,-22.622,-22.672,-22.492,-22.632,-22.512,-22.552,-22.582,-22.682,-22.292,-22.232,-22.102,-22.062,-21.932,-22.122,-22.162,-22.072,-21.942,-21.742,-21.852,-21.712,-21.902,-21.742,-21.542,-21.592,-21.542,-21.462,-21.272,-21.442,-21.232,-21.182,-21.082,-21.322,-21.402,-21.042,-21.052,-20.972,-21.382,-21.192,-20.952,-20.832,-20.622,-20.532,-20.432,-20.212,-19.862,-19.592,-19.262,-19.492,-14.292,-12.942,-13.162,-12.062,-11.612,-11.682,-11.432,-11.282,-11.222,-10.582,-10.662,-9.652,-9.102,-8.782,-8.782,-8.862,-8.842,-8.512,-9.352,-9.082,-9.062,-8.882,-8.702,-8.602,-7.132,-7.482,-7.072,-6.582,-6.652,-6.382,-6.242,-6.302,-6.462,-5.972,-6.122,-5.822,-5.862,-5.802,-5.352,-5.262,-5.462,-5.152,-4.952,-5.152,-4.472,-4.432,-4.052,-3.962,-3.742,-3.862,-3.672,-3.292,-3.262,-2.752,-2.742,-2.562,-2.512,-2.182,-1.852,-1.852,-1.702,-1.562,-1.302,-1.432,-1.162,-1.032,-1.002,-1.402,-1.422,-1.082,-1.272,-1.312,-1.792,-1.782,-1.692,-1.842,-1.812,-1.982,-2.152,-2.142,-2.052,-2.052,-2.072,-3.272
1002,-3.5,15,-25.092,-24.212,-24.732,-24.542,-24.622,-24.582,-24.382,-24.202,-24.322,-23.902,-23.872,-23.652,-23.502,-23.762,-22.742,-22.612,-22.452,-22.092,-22.552,-22.472,-22.862,-22.742,-22.732,-22.582,-22.112,-22.662,-22.522,-22.352,-22.812,-23.092,-23.312,-22.972,-23.252,-22.892,-23.142,-23.182,-23.562,-23.682,-23.632,-23.762,-23.542,-23.612,-23.752,-23.702,-23.322,-23.272,-23.152,-22.952,-22.952,-23.202,-23.262,-23.052,-23.022,-22.802,-22.842,-22.682,-22.742,-22.632,-22.462,-22.592,-22.712,-22.542,-22.332,-22.422,-22.102,-22.082,-22.122,-22.382,-22.392,-22.052,-22.092,-22.042,-22.222,-22.172,-21.942,-21.792,-21.752,-21.652,-21.492,-21.292,-20.942,-20.612,-20.192,-20.292,-13.473,-12.053,-12.193,-11.473,-11.353,-10.953,-10.463,-10.003,-10.063,-9.343,-9.393,-8.963,-8.933,-9.023,-8.103,-8.093,-7.923,-7.473,-8.143,-7.903,-8.183,-7.953,-7.783,-7.413,-6.693,-7.213,-6.553,-6.343,-6.503,-6.633,-6.273,-5.903,-6.023,-5.423,-5.493,-5.353,-5.743,-5.633,-5.423,-5.273,-5.333,-5.183,-5.043,-5.013,-4.463,-4.393,-4.093,-3.793,-3.873,-3.923,-3.683,-3.453,-3.373,-2.993,-2.823,-2.703,-2.473,-2.243,-1.893,-1.933,-1.873,-1.653,-1.443,-1.503,-1.143,-1.053,-1.133,-1.433,-1.513,-1.233,-1.403,-1.483,-1.793,-2.023,-1.883,-2.073,-2.193,-2.313,-2.463,-2.493,-2.433,-2.443,-2.353,-3.433
1002,-4.5,15,-26.08,-25.09,-26.15,-25.56,-25.41,-25.55,-25.58,-25.62,-25.55,-25.11,-24.97,-24.71,-24.33,-24.43,-24.26,-24.26,-24.17,-23.8,-23.07,-22.86,-22.31,-22.48,-23.29,-23.38,-23.11,-23.41,-23.94,-23.64,-23.83,-23.77,-23.99,-23.89,-24.43,-24.07,-24.35,-24.51,-24.83,-24.94,-25.13,-25.11,-25.14,-25.3,-25.55,-25.46,-25.02,-24.82,-24.77,-24.39,-24.22,-24.43,-24.43,-24.17,-23.9,-23.84,-23.91,-23.8,-23.57,-23.45,-23.43,-23.46,-23.47,-23.16,-23.03,-23.19,-22.91,-23,-22.82,-23.11,-23.05,-22.95,-22.92,-22.83,-23.14,-23.13,-22.91,-22.8,-22.73,-22.68,-22.61,-22.32,-21.92,-21.56,-21.06,-21.17,-12.574,-11.134,-11.984,-10.634,-10.374,-10.134,-9.844,-9.644,-9.474,-8.814,-8.844,-8.224,-8.084,-8.084,-8.154,-8.254,-8.274,-7.784,-7.254,-7.014,-6.284,-6.624,-7.054,-7.074,-6.474,-6.744,-6.694,-6.384,-6.284,-6.014,-5.814,-5.674,-5.924,-5.414,-5.564,-5.464,-5.884,-5.834,-5.824,-5.464,-5.934,-5.714,-5.684,-5.714,-5.004,-4.924,-4.664,-4.164,-4.144,-4.164,-3.884,-3.404,-3.244,-3.024,-2.824,-2.554,-2.284,-2.054,-1.874,-1.834,-1.804,-1.414,-1.224,-1.434,-1.064,-1.114,-1.004,-1.344,-1.344,-1.334,-1.514,-1.494,-1.924,-2.114,-2.104,-2.304,-2.364,-2.654,-2.794,-2.764,-2.674,-2.664,-2.464,-3.644
1002,-5.6,15,-26.812,-26.222,-27.012,-26.592,-26.492,-26.922,-26.952,-27.142,-27.122,-26.742,-26.692,-26.462,-25.812,-25.772,-25.472,-25.402,-25.352,-24.902,-25.152,-24.832,-25.042,-25.022,-25.072,-25.022,-24.812,-25.032,-25.042,-24.722,-24.912,-25.142,-25.392,-25.252,-25.812,-25.532,-25.642,-25.962,-26.222,-26.382,-26.622,-26.792,-26.972,-27.052,-26.882,-26.892,-26.422,-26.172,-25.852,-25.402,-25.312,-25.472,-25.182,-24.892,-24.812,-24.692,-24.772,-24.442,-24.422,-24.312,-24.052,-24.172,-24.092,-23.892,-23.772,-23.942,-23.552,-23.562,-23.472,-23.752,-23.702,-23.502,-23.562,-23.552,-23.772,-24.002,-23.662,-23.622,-23.562,-23.532,-23.482,-23.292,-22.862,-22.442,-21.822,-21.772,-11.143,-10.623,-10.733,-9.813,-9.663,-9.623,-9.303,-9.373,-9.263,-8.753,-8.873,-8.353,-8.003,-7.813,-7.953,-8.093,-7.993,-7.553,-8.013,-7.743,-7.663,-7.703,-7.733,-7.593,-6.953,-7.223,-6.583,-6.313,-6.193,-6.203,-6.043,-5.873,-6.233,-5.663,-5.773,-5.863,-6.303,-6.203,-6.193,-6.253,-6.663,-6.433,-6.013,-6.233,-5.403,-5.073,-4.623,-4.243,-4.153,-4.133,-3.753,-3.143,-3.193,-2.783,-2.783,-2.373,-2.193,-1.973,-1.583,-1.673,-1.523,-1.243,-1.073,-1.243,-0.853,-0.863,-0.643,-1.133,-1.143,-1.073,-1.313,-1.413,-1.783,-2.243,-2.103,-2.333,-2.523,-2.733,-2.993,-3.073,-2.943,-2.843,-2.623,-3.673
1002,-6.6,15,-28.153,-27.463,-27.823,-27.483,-27.543,-27.843,-28.023,-28.023,-28.033,-27.723,-27.663,-27.433,-27.083,-27.283,-26.923,-26.863,-26.913,-26.743,-26.853,-26.843,-27.193,-27.043,-27.323,-27.113,-26.723,-26.823,-26.603,-26.083,-26.263,-26.353,-26.713,-26.213,-26.873,-26.673,-26.673,-27.403,-27.513,-27.613,-27.813,-27.913,-27.903,-27.543,-27.423,-27.163,-27.143,-26.813,-26.653,-26.403,-26.223,-26.513,-26.173,-25.803,-25.623,-25.443,-25.553,-25.443,-25.123,-25.133,-24.773,-24.913,-24.973,-24.783,-24.483,-24.633,-24.253,-24.283,-24.193,-24.483,-24.443,-24.243,-24.423,-24.203,-24.643,-24.623,-24.323,-24.373,-24.343,-24.303,-24.213,-24.083,-23.763,-23.323,-22.633,-22.403,-10.876,-9.876,-9.866,-8.926,-8.946,-8.916,-8.616,-8.526,-8.656,-8.056,-8.416,-7.706,-7.806,-7.876,-7.896,-8.166,-8.336,-8.096,-8.496,-8.646,-8.666,-8.956,-8.536,-8.466,-7.666,-7.756,-6.946,-6.566,-6.406,-6.286,-6.106,-5.786,-6.276,-5.676,-5.746,-6.376,-6.466,-6.376,-6.246,-6.256,-6.586,-6.016,-5.496,-5.456,-5.126,-4.856,-4.466,-4.256,-4.266,-4.266,-3.816,-3.336,-2.996,-2.736,-2.716,-2.446,-2.116,-1.936,-1.416,-1.506,-1.636,-1.186,-0.976,-1.076,-0.726,-0.726,-0.656,-1.016,-1.076,-0.976,-1.336,-1.376,-1.866,-2.176,-2.146,-2.436,-2.626,-2.906,-3.166,-3.276,-3.236,-3.156,-2.836,-3.766
10030,1.9,15,-24.745,-23.895,-24.565,-24.085,-24.015,-24.265,-24.035,-23.795,-23.775,-23.025,-23.055,-22.345,-21.545,-21.375,-21.095,-20.805,-20.365,-19.785,-19.665,-18.945,-18.615,-18.355,-18.005,-17.855,-17.455,-17.615,-17.435,-17.475,-18.135,-18.305,-18.745,-18.665,-19.065,-18.875,-19.085,-18.915,-18.705,-18.475,-17.915,-17.235,-16.695,-16.335,-16.055,-15.815,-15.485,-15.165,-15.285,-15.405,-15.165,-15.375,-15.345,-15.315,-15.445,-15.365,-15.625,-15.615,-15.795,-15.805,-15.725,-15.885,-16.065,-16.075,-16.055,-16.305,-16.085,-16.165,-16.135,-16.345,-16.355,-16.255,-16.275,-16.295,-16.515,-16.435,-16.085,-16.095,-16.185,-16.225,-16.325,-16.205,-15.975,-15.965,-16.115,-16.695,-24.702,-23.292,-23.582,-22.692,-22.282,-22.112,-21.432,-20.812,-20.382,-19.292,-18.982,-17.952,-16.812,-16.362,-15.802,-15.342,-14.622,-13.872,-13.512,-12.612,-11.932,-11.542,-10.842,-10.552,-9.742,-9.702,-9.042,-9.122,-9.402,-9.312,-9.232,-9.052,-9.192,-8.752,-8.772,-8.302,-7.952,-7.542,-6.622,-5.722,-5.382,-4.712,-4.172,-3.902,-3.292,-2.982,-2.772,-2.812,-2.472,-2.532,-2.192,-2.062,-2.072,-1.742,-1.872,-1.692,-1.702,-1.502,-1.202,-1.242,-1.322,-1.202,-1.132,-1.182,-0.852,-0.862,-0.792,-1.042,-1.022,-0.982,-1.032,-1.062,-1.342,-1.342,-1.122,-1.252,-1.442,-1.682,-1.922,-1.942,-1.872,-2.092,-2.512,-3.932
